nicho,cidade,nome,Endereço,Telefone,Website,Tipo,nota,reviews,Descricao,Latitude,Longitude
Consultoria de ESG e licenciamento ambiental,Rio de Janeiro,Hazel,N/A,(21) 99624-6652,N/A,Empresa de Automação Empresarial,0.0,0,N/A,N/A,N/A
Consultoria de ESG e licenciamento ambiental,Rio de Janeiro,Sig Consultoria e Assessoria,N/A,(21) 3547-5307,N/A,Consultoria empresarial,5.0,1,N/A,N/A,N/A
Consultoria de ESG e licenciamento ambiental,Rio de Janeiro,Naturale Consultoria e Treinamento de QSMS,N/A,(21) 96922-0069,http://naturaleqsms.com.br/,Consultoria empresarial,5.0,19,N/A,N/A,N/A
Consultoria de ESG e licenciamento ambiental,Rio de Janeiro,Ética Ambiental,N/A,(21) 3349-7376,http://www.etica-ambiental.com.br/,Consultor ambiental,4.8,12,N/A,N/A,N/A
Consultoria de ESG e licenciamento ambiental,Rio de Janeiro,Ekols Serviço e Licenciamento - Consultoria Ambiental e Gerenciamento de Áreas Contaminadas,N/A,(21) 98056-1234,http://www.ekols.com.br/,Consultor ambiental,5.0,16,N/A,N/A,N/A
Consultoria de ESG e licenciamento ambiental,Rio de Janeiro,Muda Soluções Ambientais,N/A,(21) 98886-1146,https://mudaambiental.com.br/,Consultor ambiental,5.0,32,N/A,N/A,N/A
Consultoria de ESG e licenciamento ambiental,Rio de Janeiro,Alleanza Ambiental,N/A,(21) 99802-8922,https://www.alleanzaengenharia.com.br/,Engenharia ambiental,0.0,0,N/A,N/A,N/A
Consultoria de ESG e licenciamento ambiental,Rio de Janeiro,Certifica Ambiental Consultoria e Gestão,N/A,(21) 97012-7913,https://certificaambiental.com.br/,Consultoria,5.0,1,N/A,N/A,N/A
Consultoria de ESG e licenciamento ambiental,Rio de Janeiro,Eco ambiental Assessoria em Segurança e Medicina do Trabalho,N/A,(21) 3461-8585,http://www.ecoambientalweb.com.br/,Saúde e segurança ocupacional,5.0,26,N/A,N/A,N/A
Consultoria de ESG e licenciamento ambiental,Rio de Janeiro,Grupo Eságua,N/A,(21) 2587-9013,N/A,Escritório da empresa,4.8,4,N/A,N/A,N/A
Consultoria de ESG e licenciamento ambiental,Rio de Janeiro,ASA AMBIENTAL,N/A,(21) 98710-8533,http://www.asaambiental.com.br/,Consultoria,0.0,0,N/A,N/A,N/A
Consultoria de ESG e licenciamento ambiental,Rio de Janeiro,Gestão Transversal - Serviços e Projetos Especiais em ESG," · R. Jardim Botânico, 568",(21) 99906-8920,http://www.gestaotransversal.com.br/,Escritório da empresa,0.0,0,N/A,N/A,N/A
Consultoria de ESG e licenciamento ambiental,Rio de Janeiro,Consultoria em Engenharia Legal e Diagnóstica," · Nova América Offices - Av. Pastor Martin Luther King Jr., 126 - Torre 3000",N/A,https://aguilar.eng.br/,Consultoria em engenharia,5.0,62,N/A,N/A,N/A
Consultoria de ESG e licenciamento ambiental,Rio de Janeiro,GETS AMBIENTAL,N/A,(11) 99737-3589,https://www.getsambiental.com.br/,Consultor ambiental,5.0,6,N/A,N/A,N/A
Consultoria de ESG e licenciamento ambiental,Rio de Janeiro,Instituto Brasileiro de Sustentabilidade - INBS," · Av. Paulista, 1636 - 15º andar",(11) 99710-5220,http://www.inbs.com.br/,Consultoria empresarial,4.8,81,N/A,N/A,N/A
Consultoria de ESG e licenciamento ambiental,Rio de Janeiro,Amor à Natureza Serviços Ambientais,N/A,(21) 98599-5232,http://www.anservicosambientais.com.br/,Consultor ambiental,0.0,0,N/A,N/A,N/A
Instalação de sistemas de incêndio,Rio de Janeiro,Top Fire - Prevenção contra incêndio RJ," · Esquina com - Rua Marechal Hermes, Av. Expedicionário José Amaro, 477",(21) 98389-4623,https://topfirerj.com.br/,Fornecedor de sistemas de proteção contra incêndios,5.0,82,N/A,N/A,N/A
Instalação de sistemas de incêndio,Rio de Janeiro,Fogobras Equipamentos e Materiais Contra Incêndio," · R. Barão do Bom Retiro, 424",(21) 2201-3297,http://www.fogobras.com.br/,Fornecedor de sistemas de proteção contra incêndios,5.0,170,N/A,N/A,N/A
Instalação de sistemas de incêndio,Rio de Janeiro,MASTER FIRE PREVENÇÃO E COMBATE A INCÊNDIO LTDA,N/A,(21) 3298-8711,N/A,Fornecedor de sistemas de proteção contra incêndios,4.8,17,N/A,N/A,N/A
Instalação de sistemas de incêndio,Rio de Janeiro,Sant'anna Rio - Sistemas Contra Incêndio,N/A,(21) 2594-0131,N/A,Fornecedor de sistemas de proteção contra incêndios,3.9,29,N/A,N/A,N/A
Instalação de sistemas de incêndio,Rio de Janeiro,MM.Fire Instalação e Manutenção,N/A,(21) 99174-6696,http://www.mmfire.com.br/,Fornecedor de sistemas de proteção contra incêndios,5.0,2,N/A,N/A,N/A
Instalação de sistemas de incêndio,Rio de Janeiro,FOCO - Sistemas Contra Incêndio,N/A,(21) 99132-9102,N/A,Serviços de proteção contra incêndio,5.0,12,N/A,N/A,N/A
Instalação de sistemas de incêndio,Rio de Janeiro,Unitecsystem🧯,N/A,(21) 2474-2503,https://unitecsystem.com.br/,Fornecedor de sistemas de proteção contra incêndios,5.0,12,N/A,N/A,N/A
Instalação de sistemas de incêndio,Rio de Janeiro,Magyrus Engenharia Ltda," · R. Divisória, 255",(21) 2451-6993,http://www.magyrusengenharia.com.br/,Loja de Equipamento Contra Incêndio,4.9,16,N/A,N/A,N/A
Instalação de sistemas de incêndio,Rio de Janeiro,BRIGGS Soluções contra incêndio,N/A,(21) 2501-6529,http://briggs.com.br/,Serviços de proteção contra incêndio,4.9,34,N/A,N/A,N/A
Instalação de sistemas de incêndio,Rio de Janeiro,S G Fire | Segurança Contra Incêndio,N/A,(21) 3689-6305,http://www.sgfire.com.br/,Fornecedor de sistemas de proteção contra incêndios,5.0,2,N/A,N/A,N/A
Instalação de sistemas de incêndio,Rio de Janeiro,Nova Líder - Incêndios RJ,N/A,(21) 99875-7319,https://www.incendiosrj.com.br/?utm_source=google&utm_medium=wix_google_business_profile&utm_campaign=15492396696447474849,Fornecedor de equipamentos de segurança,5.0,10,N/A,N/A,N/A
Instalação de sistemas de incêndio,Rio de Janeiro,Connect Fire - Placas de Sinalização e Acessibilidade.,N/A,(21) 3583-8313,http://www.connectfire.com.br/,Loja de Equipamento Contra Incêndio,4.8,24,N/A,N/A,N/A
Instalação de sistemas de incêndio,Rio de Janeiro,ART Sistemas Contra Incêndio,N/A,(21) 2564-9492,http://artincendios.com.br/,Loja de Equipamento Contra Incêndio,5.0,3,N/A,N/A,N/A
Instalação de sistemas de incêndio,Rio de Janeiro,Onixx Fire Prevenção Contra Incêndio,N/A,(21) 2088-7533,https://www.onixxfire.com.br/,Loja de Equipamento Contra Incêndio,5.0,3,N/A,N/A,N/A
Instalação de sistemas de incêndio,Rio de Janeiro,BJ Engenharia de Incêndio Ltda-ME,N/A,(21) 2261-1718,http://beljon.com.br/,Fornecedor de sistemas de proteção contra incêndios,4.3,8,N/A,N/A,N/A
Instalação de sistemas de incêndio,Rio de Janeiro,"Sparta Engenharia de Incêndio - Projetos de segurança contra Incêndio, obras, legalizações, venda de extintores e mangueiras"," · R. Avaré, 431",(21) 99390-7306,http://engenhariasparta.com.br/,Serviços de proteção contra incêndio,4.9,54,N/A,N/A,N/A
Instalação de sistemas de incêndio,Rio de Janeiro,R Fire Sistemas,N/A,(21) 96807-2058,http://rfire.com.br/,Loja de Equipamento Contra Incêndio,5.0,8,N/A,N/A,N/A
Instalação de sistemas de incêndio,Rio de Janeiro,RPM Segurança Contra Incêndio,N/A,(21) 97244-5109,https://www.rpmsci.com.br/,Empresa de engenharia civil,5.0,60,N/A,N/A,N/A
Instalação de sistemas de incêndio,Rio de Janeiro,Ekiper Fire Ltda.,N/A,(21) 3420-6007,http://www.ekiper.com.br/,Fornecedor de sistemas de proteção contra incêndios,4.7,6,N/A,N/A,N/A
Instalação de sistemas de incêndio,Rio de Janeiro,RED SAFETY Segurança Contra Incêndio,N/A,(21) 3189-9534,http://www.redsafety.com.br/,Serviços de proteção contra incêndio,4.9,15,N/A,N/A,N/A
Impermeabilização e recuperação de fachadas,Rio de Janeiro,Tdszaf reformas impermeabilização pintura de fachada telhado em todo rio de janeiro,N/A,(21) 96666-5829,http://www.tdszafreformas.com.br/,Construtora,4.1,14,N/A,N/A,N/A
Impermeabilização e recuperação de fachadas,Rio de Janeiro,Hidracon Sistemas Contra Incêndio e Manutenção Predial,N/A,(21) 98288-4714,https://www.hidraconrj.com.br/,Serviço de impermeabilização,5.0,36,N/A,N/A,N/A
Impermeabilização e recuperação de fachadas,Rio de Janeiro,Reveste Rio,N/A,(21) 96452-0686,https://pinturaresidencialrj.com/,Pintura,4.9,24,N/A,N/A,N/A
Impermeabilização e recuperação de fachadas,Rio de Janeiro,Repint Reformas Restauração de fachadas prediais.," · R. Hugo Gonçalves, 47",N/A,https://www.facebook.com/Repintreformas,Serviço de restauração de prédios,4.8,13,N/A,N/A,N/A
Impermeabilização e recuperação de fachadas,Rio de Janeiro,CM Engenharia e Arquitetura,N/A,(21) 97997-8097,https://cmengenhariaearquitetura.com.br/,Serviço de impermeabilização,5.0,49,N/A,N/A,N/A
Impermeabilização e recuperação de fachadas,Rio de Janeiro,MS REFORMA PREDIAL,N/A,(21) 97034-8009,https://www.msreformapredial.com.br/,Serviço de impermeabilização,0.0,0,N/A,N/A,N/A
Impermeabilização e recuperação de fachadas,Rio de Janeiro,Alfa Qualitec Alpinismo Industrial,N/A,N/A,http://www.alfaqualitec.com.br/,Serviço de impermeabilização,5.0,18,N/A,N/A,N/A
Impermeabilização e recuperação de fachadas,Rio de Janeiro,Construmedley I Reforma de Fachadas,N/A,(21) 99842-9235,https://www.reformadefachadasrj.com.br/,Manutenção predial,5.0,2,N/A,N/A,N/A
Impermeabilização e recuperação de fachadas,Rio de Janeiro,MantaRio Serviços de Impermeabilização e Construções,N/A,(21) 96559-1983,N/A,Serviço de impermeabilização,4.8,39,N/A,N/A,N/A
Impermeabilização e recuperação de fachadas,Rio de Janeiro,IMPERMEABILIZAÇÃO RJ,N/A,(21) 98235-1246,http://impermeabilizacao.info/,Serviço de impermeabilização,4.3,16,N/A,N/A,N/A
Impermeabilização e recuperação de fachadas,Rio de Janeiro,ALCANCE EMPREITEIRA,N/A,N/A,https://www.alcanceempreiteira.com.br/?utm_source=google&utm_medium=wix_google_business_profile&utm_campaign=1982047878534625623,Serviço de impermeabilização,5.0,9,N/A,N/A,N/A
Impermeabilização e recuperação de fachadas,Rio de Janeiro,Pinturas de Fachadas RJ Equipe A.L.A," · R. Constança Barbosa, 65 - 201",(21) 97653-9516,http://equipealaconstrutora.com.br/,Pintura,5.0,2,N/A,N/A,N/A
Impermeabilização e recuperação de fachadas,Rio de Janeiro,REFORMAS DE FACHADAS,N/A,(21) 98272-2545,https://www.abr-predial-reformas-de-fachada.com/,Serviço de impermeabilização,4.5,2,N/A,N/A,N/A
Impermeabilização e recuperação de fachadas,Rio de Janeiro,Nicolau restauração de fachadas, · R. Adriana,(21) 96856-6901,N/A,Pintura,5.0,5,N/A,N/A,N/A
Impermeabilização e recuperação de fachadas,Rio de Janeiro,FS Engenharia e Arquitetura LTDA,N/A,(21) 98494-8920,https://fsengearqui.com/,Serviço de impermeabilização,5.0,1,N/A,N/A,N/A
Impermeabilização e recuperação de fachadas,Rio de Janeiro,Tecnil Fachadas e Interiores,N/A,(21) 97400-9629,https://tecnil.srv.br/,Serviço de impermeabilização,0.0,0,N/A,N/A,N/A
Impermeabilização e recuperação de fachadas,Rio de Janeiro,Recuperação de Fachadas RJ - Gesù Engenharia,N/A,(21) 4141-2271,http://www.gesuengenharia.com.br/restauracao-de-fachadas/,Serviço de impermeabilização,0.0,0,N/A,N/A,N/A
Impermeabilização e recuperação de fachadas,Rio de Janeiro,Fetec Reformas De Fachadas Prediais,N/A,(21) 3281-2703,https://fetecrj.com.br/,Serviço de restauração de prédios,4.9,24,N/A,N/A,N/A
Impermeabilização e recuperação de fachadas,Rio de Janeiro,TECRYL," · Estr. Bento Pestana, 966",(21) 2626-1403,http://www.tecryl.com.br/,Empresa de impermeabilização,4.3,77,N/A,N/A,N/A
Impermeabilização e recuperação de fachadas,Rio de Janeiro,Restauração de Fachadas RJ Equipe A.L.A,N/A,(21) 97653-9516,http://equipealaconstrutora.com.br/,Pintura,5.0,3,N/A,N/A,N/A
Laudos elétricos,Rio de Janeiro,SRT ENERGIA - Laudo de SPDA - Para Raio | Serviços Elétricos-RJ,N/A,(21) 99787-1391,N/A,Serviço de instalação elétrica,5.0,7,N/A,N/A,N/A
Laudos elétricos,Rio de Janeiro,"Inoveletrica - Reforma de Pc, Laudos Elétricos",N/A,(21) 3796-6912,N/A,Serviços de engenharia eletrônica,5.0,3,N/A,N/A,N/A
Laudos elétricos,Rio de Janeiro,EMF ENGENHARIA E SERVIÇOS TÉCNICOS LTDA,N/A,(21) 97623-4118,http://emf-engenharia.com.br/,Consultoria em engenharia,5.0,10,N/A,N/A,N/A
Laudos elétricos,Rio de Janeiro,Laudos Engenharia LTDA," · R. Brasilina, 15 - sala 705",(21) 99626-7104,http://www.laudosengenharia.eng.br/,Escritório da empresa,5.0,2,N/A,N/A,N/A
Laudos elétricos,Rio de Janeiro,ENSAIOS ELÉTRICOS," · Rua Clarimundo de Melo, 381",(21) 99441-8620,http://www.ensaioseletricosrj.com.br/,Laboratório,4.4,7,N/A,N/A,N/A
Laudos elétricos,Rio de Janeiro,Repaen Engenharia e Tecnologia,N/A,(21) 98591-5206,https://repaen.tech/,Empresa de automação de casas,4.3,16,N/A,N/A,N/A
Laudos elétricos,Rio de Janeiro,"Engenheiro Civil e Engenheiro Eletricista: Serviços de Projetos, Laudo Técnico e ART",N/A,(21) 96954-4783,N/A,Engenheiro civil,0.0,0,N/A,N/A,N/A
Automação predial,Rio de Janeiro,Projetoseletroeletronicos,N/A,(21) 99952-1497,N/A,Empresa de telecomunicação,4.0,3,N/A,N/A,N/A
Automação predial,Rio de Janeiro,aau Tecnologia & Automação,N/A,(21) 4116-4066,N/A,Empresa de Automação Empresarial,5.0,5,N/A,N/A,N/A
Automação predial,Rio de Janeiro,Smart Slg,N/A,(11) 3094-2600,https://www.smartslg.com.br/,Empresa de Automação Empresarial,5.0,7,N/A,N/A,N/A
